,Time,ETHUSDT,BUSDUSDT
199,2023-06-04 14:13:00,1903.41,0.9998
200,2023-06-04 14:14:00,1903.41,0.9998
201,2023-06-04 14:15:00,1903.75,0.9999
202,2023-06-04 14:16:00,1903.75,0.9998
203,2023-06-04 14:17:00,1903.65,0.9998
204,2023-06-04 14:18:00,1903.62,0.9998
205,2023-06-04 14:19:00,1903.58,0.9999
206,2023-06-04 14:20:00,1903.5,0.9999
207,2023-06-04 14:21:00,1903.45,0.9998
208,2023-06-04 14:22:00,1903.43,0.9999
209,2023-06-04 14:23:00,1903.21,0.9999
210,2023-06-04 14:24:00,1905.01,0.9998
211,2023-06-04 14:25:00,1905.25,0.9999
212,2023-06-04 14:26:00,1904.46,0.9998
213,2023-06-04 14:27:00,1904.27,0.9999
214,2023-06-04 14:28:00,1904.48,0.9998
215,2023-06-04 14:29:00,1904.51,0.9999
216,2023-06-04 14:30:00,1905.51,0.9999
217,2023-06-04 14:31:00,1906.44,0.9999
218,2023-06-04 14:32:00,1904.81,0.9998
219,2023-06-04 14:33:00,1906.02,0.9999
220,2023-06-04 14:34:00,1906.01,0.9999
221,2023-06-04 14:35:00,1906.01,0.9999
222,2023-06-04 14:36:00,1906.11,0.9998
223,2023-06-04 14:37:00,1906.51,0.9998
224,2023-06-04 14:38:00,1906.56,0.9999
225,2023-06-04 14:39:00,1906.56,0.9999
226,2023-06-04 14:40:00,1906.56,0.9998
227,2023-06-04 14:41:00,1907.51,0.9998
228,2023-06-04 14:42:00,1907.47,0.9999
229,2023-06-04 14:43:00,1906.95,0.9999
230,2023-06-04 14:44:00,1907.06,0.9998
231,2023-06-04 14:45:00,1907.3,0.9998
232,2023-06-04 14:46:00,1906.83,0.9998
233,2023-06-04 14:47:00,1907.01,0.9999
234,2023-06-04 14:48:00,1907.0,0.9999
235,2023-06-04 14:49:00,1906.83,0.9999
236,2023-06-04 14:50:00,1906.78,0.9999
237,2023-06-04 14:51:00,1906.78,0.9998
238,2023-06-04 14:52:00,1907.4,0.9999
239,2023-06-04 14:53:00,1908.35,0.9999
240,2023-06-04 14:54:00,1911.94,0.9998
241,2023-06-04 14:55:00,1909.65,0.9998
242,2023-06-04 14:56:00,1908.66,0.9999
243,2023-06-04 14:57:00,1908.89,0.9999
244,2023-06-04 14:58:00,1908.67,0.9998
245,2023-06-04 14:59:00,1907.51,0.9999
246,2023-06-04 15:00:00,1906.01,0.9998
247,2023-06-04 15:01:00,1905.34,0.9999
248,2023-06-04 15:02:00,1904.13,0.9998
249,2023-06-04 15:03:00,1904.29,0.9998
250,2023-06-04 15:04:00,1901.02,0.9998
251,2023-06-04 15:05:00,1901.52,0.9998
252,2023-06-04 15:06:00,1902.93,0.9999
253,2023-06-04 15:07:00,1903.22,0.9998
254,2023-06-04 15:08:00,1903.02,0.9999
255,2023-06-04 15:09:00,1903.5,0.9998
256,2023-06-04 15:10:00,1903.11,0.9999
257,2023-06-04 15:11:00,1903.78,0.9998
258,2023-06-04 15:12:00,1903.4,0.9999
259,2023-06-04 15:13:00,1903.92,0.9998
260,2023-06-04 15:14:00,1904.49,0.9998
261,2023-06-04 15:15:00,1904.56,0.9998
262,2023-06-04 15:16:00,1904.01,0.9998
263,2023-06-04 15:17:00,1904.49,0.9998
264,2023-06-04 15:18:00,1904.5,0.9999
265,2023-06-04 15:19:00,1904.49,0.9999
266,2023-06-04 15:20:00,1904.87,0.9999
267,2023-06-04 15:21:00,1905.0,0.9998
268,2023-06-04 15:22:00,1904.99,0.9999
269,2023-06-04 15:23:00,1905.98,0.9999
270,2023-06-04 15:24:00,1904.71,0.9999
271,2023-06-04 15:25:00,1904.56,0.9999
272,2023-06-04 15:26:00,1903.68,0.9998
273,2023-06-04 15:27:00,1902.42,0.9998
274,2023-06-04 15:28:00,1901.71,0.9998
275,2023-06-04 15:29:00,1901.62,0.9998
276,2023-06-04 15:30:00,1901.5,0.9998
277,2023-06-04 15:31:00,1900.63,0.9998
278,2023-06-04 15:32:00,1900.31,0.9998
279,2023-06-04 15:33:00,1901.83,0.9998
280,2023-06-04 15:34:00,1901.66,0.9998
281,2023-06-04 15:35:00,1902.71,0.9998
282,2023-06-04 15:36:00,1903.37,0.9998
283,2023-06-04 15:37:00,1903.31,0.9998
284,2023-06-04 15:38:00,1904.08,0.9999
285,2023-06-04 15:39:00,1904.91,0.9998
286,2023-06-04 15:40:00,1903.65,0.9998
287,2023-06-04 15:41:00,1903.76,0.9998
288,2023-06-04 15:42:00,1904.64,0.9998
289,2023-06-04 15:43:00,1904.5,0.9998
290,2023-06-04 15:44:00,1904.43,0.9999
291,2023-06-04 15:45:00,1904.78,0.9999
292,2023-06-04 15:46:00,1906.59,0.9999
293,2023-06-04 15:47:00,1906.23,0.9999
294,2023-06-04 15:48:00,1906.85,0.9998
295,2023-06-04 15:49:00,1906.85,0.9999
296,2023-06-04 15:50:00,1907.31,0.9998
297,2023-06-04 15:51:00,1907.18,0.9998
298,2023-06-04 15:52:00,1907.17,0.9999
299,2023-06-04 15:53:00,1907.41,0.9998
300,2023-06-04 15:54:00,1907.79,0.9999
301,2023-06-04 15:55:00,1908.38,0.9999
302,2023-06-04 15:56:00,1906.33,0.9998
303,2023-06-04 15:57:00,1905.6,0.9998
304,2023-06-04 15:58:00,1905.77,0.9999
305,2023-06-04 15:59:00,1905.5,0.9998
306,2023-06-04 16:00:00,1905.36,0.9998
307,2023-06-04 16:01:00,1905.37,0.9998
308,2023-06-04 16:02:00,1905.81,0.9998
309,2023-06-04 16:03:00,1905.56,0.9998
310,2023-06-04 16:04:00,1905.63,0.9998
311,2023-06-04 16:05:00,1905.5,0.9999
312,2023-06-04 16:06:00,1905.68,0.9998
313,2023-06-04 16:07:00,1905.5,0.9998
314,2023-06-04 16:08:00,1905.32,0.9998
315,2023-06-04 16:09:00,1904.49,0.9999
316,2023-06-04 16:10:00,1904.49,0.9998
317,2023-06-04 16:11:00,1903.51,0.9999
318,2023-06-04 16:12:00,1903.31,0.9998
319,2023-06-04 16:13:00,1902.85,0.9999
320,2023-06-04 16:14:00,1902.67,0.9998
321,2023-06-04 16:15:00,1903.43,0.9998
322,2023-06-04 16:16:00,1903.25,0.9999
323,2023-06-04 16:17:00,1903.2,0.9998
324,2023-06-04 16:18:00,1903.59,0.9998
325,2023-06-04 16:19:00,1903.99,0.9998
326,2023-06-04 16:20:00,1904.35,0.9998
327,2023-06-04 16:21:00,1903.86,0.9999
328,2023-06-04 16:22:00,1903.62,0.9999
329,2023-06-04 16:23:00,1904.05,0.9998
330,2023-06-04 16:24:00,1903.71,0.9998
331,2023-06-04 16:25:00,1903.59,0.9998
332,2023-06-04 16:26:00,1904.39,0.9998
333,2023-06-04 16:27:00,1904.5,0.9999
334,2023-06-04 16:28:00,1904.79,0.9998
335,2023-06-04 16:29:00,1904.79,0.9998
336,2023-06-04 16:30:00,1905.1,0.9999
337,2023-06-04 16:31:00,1905.55,0.9998
338,2023-06-04 16:32:00,1904.83,0.9999
339,2023-06-04 16:33:00,1904.51,0.9999
340,2023-06-04 16:34:00,1903.86,0.9999
341,2023-06-04 16:35:00,1903.51,0.9999
342,2023-06-04 16:36:00,1903.51,0.9998
343,2023-06-04 16:37:00,1903.72,0.9999
344,2023-06-04 16:38:00,1903.94,0.9998
345,2023-06-04 16:39:00,1903.95,0.9998
346,2023-06-04 16:40:00,1903.99,0.9998
347,2023-06-04 16:41:00,1903.8,0.9999
