,Time,BTCUSDT,MDTUSDT
180,2023-06-04 13:36:00,27189.52,0.05205
181,2023-06-04 13:37:00,27189.52,0.05202
182,2023-06-04 13:38:00,27190.82,0.05198
183,2023-06-04 13:39:00,27192.7,0.05204
184,2023-06-04 13:40:00,27204.26,0.05204
185,2023-06-04 13:41:00,27203.57,0.05209
186,2023-06-04 13:42:00,27200.84,0.0521
187,2023-06-04 13:43:00,27215.58,0.05213
188,2023-06-04 13:44:00,27216.03,0.0521
189,2023-06-04 13:45:00,27213.29,0.05211
190,2023-06-04 13:46:00,27212.72,0.05205
191,2023-06-04 13:47:00,27211.91,0.05206
192,2023-06-04 13:48:00,27211.91,0.05199
193,2023-06-04 13:49:00,27211.91,0.05197
194,2023-06-04 13:50:00,27211.91,0.05202
195,2023-06-04 13:51:00,27211.9,0.05204
196,2023-06-04 13:52:00,27209.84,0.05207
197,2023-06-04 13:53:00,27210.64,0.05201
198,2023-06-04 13:54:00,27210.1,0.05205
199,2023-06-04 13:55:00,27210.1,0.05205
200,2023-06-04 13:56:00,27210.1,0.05209
201,2023-06-04 13:57:00,27210.1,0.05213
202,2023-06-04 13:58:00,27210.11,0.05211
203,2023-06-04 13:59:00,27210.1,0.05213
204,2023-06-04 14:00:00,27213.73,0.05209
205,2023-06-04 14:01:00,27213.77,0.05199
206,2023-06-04 14:02:00,27215.0,0.05193
207,2023-06-04 14:03:00,27215.02,0.05205
208,2023-06-04 14:04:00,27214.97,0.05203
209,2023-06-04 14:05:00,27211.36,0.05204
210,2023-06-04 14:06:00,27211.35,0.05212
211,2023-06-04 14:07:00,27211.44,0.05202
212,2023-06-04 14:08:00,27211.44,0.05213
213,2023-06-04 14:09:00,27211.38,0.05205
214,2023-06-04 14:10:00,27211.28,0.05203
215,2023-06-04 14:11:00,27210.48,0.05203
216,2023-06-04 14:12:00,27206.6,0.05208
217,2023-06-04 14:13:00,27206.6,0.05207
218,2023-06-04 14:14:00,27206.6,0.05207
219,2023-06-04 14:15:00,27211.09,0.05204
220,2023-06-04 14:16:00,27211.09,0.05195
221,2023-06-04 14:17:00,27211.81,0.05197
222,2023-06-04 14:18:00,27211.81,0.05197
223,2023-06-04 14:19:00,27211.81,0.05195
224,2023-06-04 14:20:00,27211.8,0.05194
225,2023-06-04 14:21:00,27211.81,0.05196
226,2023-06-04 14:22:00,27212.51,0.05189
227,2023-06-04 14:23:00,27212.52,0.05192
228,2023-06-04 14:24:00,27218.0,0.05195
229,2023-06-04 14:25:00,27225.99,0.05195
230,2023-06-04 14:26:00,27222.01,0.05195
231,2023-06-04 14:27:00,27218.45,0.05195
232,2023-06-04 14:28:00,27219.81,0.052
233,2023-06-04 14:29:00,27222.55,0.052
234,2023-06-04 14:30:00,27227.9,0.052
235,2023-06-04 14:31:00,27227.9,0.05195
236,2023-06-04 14:32:00,27218.46,0.05192
237,2023-06-04 14:33:00,27220.56,0.05189
238,2023-06-04 14:34:00,27220.56,0.05189
239,2023-06-04 14:35:00,27220.55,0.05189
240,2023-06-04 14:36:00,27228.59,0.05191
241,2023-06-04 14:37:00,27231.48,0.05181
242,2023-06-04 14:38:00,27231.48,0.05182
243,2023-06-04 14:39:00,27231.28,0.05182
244,2023-06-04 14:40:00,27231.39,0.05182
245,2023-06-04 14:41:00,27243.09,0.0519
246,2023-06-04 14:42:00,27250.59,0.0518
247,2023-06-04 14:43:00,27251.59,0.05176
248,2023-06-04 14:44:00,27253.83,0.05179
249,2023-06-04 14:45:00,27253.15,0.05181
250,2023-06-04 14:46:00,27240.11,0.05176
251,2023-06-04 14:47:00,27239.31,0.05182
252,2023-06-04 14:48:00,27246.12,0.05191
253,2023-06-04 14:49:00,27240.92,0.05173
254,2023-06-04 14:50:00,27243.89,0.05182
255,2023-06-04 14:51:00,27243.88,0.05182
256,2023-06-04 14:52:00,27266.21,0.05182
257,2023-06-04 14:53:00,27265.31,0.05182
258,2023-06-04 14:54:00,27289.78,0.05176
259,2023-06-04 14:55:00,27271.56,0.05176
260,2023-06-04 14:56:00,27264.45,0.05174
261,2023-06-04 14:57:00,27266.25,0.05173
262,2023-06-04 14:58:00,27260.23,0.05175
263,2023-06-04 14:59:00,27245.46,0.05179
264,2023-06-04 15:00:00,27235.81,0.05177
265,2023-06-04 15:01:00,27229.8,0.05176
266,2023-06-04 15:02:00,27220.02,0.05173
267,2023-06-04 15:03:00,27206.21,0.05173
268,2023-06-04 15:04:00,27183.11,0.05169
269,2023-06-04 15:05:00,27198.4,0.05161
270,2023-06-04 15:06:00,27201.35,0.05154
271,2023-06-04 15:07:00,27204.21,0.05158
272,2023-06-04 15:08:00,27197.22,0.05152
273,2023-06-04 15:09:00,27203.28,0.05157
274,2023-06-04 15:10:00,27203.26,0.05157
275,2023-06-04 15:11:00,27213.98,0.05154
276,2023-06-04 15:12:00,27202.74,0.05156
277,2023-06-04 15:13:00,27215.67,0.05128
278,2023-06-04 15:14:00,27217.6,0.05129
279,2023-06-04 15:15:00,27216.87,0.05106
280,2023-06-04 15:16:00,27211.75,0.05105
281,2023-06-04 15:17:00,27215.35,0.051
282,2023-06-04 15:18:00,27218.46,0.0511
283,2023-06-04 15:19:00,27217.6,0.05113
284,2023-06-04 15:20:00,27223.37,0.05113
