,Time,BTCUSDT,BNBUSDT
231,2023-06-04 14:24:00,27218.0,307.0
232,2023-06-04 14:25:00,27225.99,307.0
233,2023-06-04 14:26:00,27222.01,306.9
234,2023-06-04 14:27:00,27218.45,307.0
235,2023-06-04 14:28:00,27219.81,306.9
236,2023-06-04 14:29:00,27222.55,306.9
237,2023-06-04 14:30:00,27227.9,307.1
238,2023-06-04 14:31:00,27227.9,307.2
239,2023-06-04 14:32:00,27218.46,307.1
240,2023-06-04 14:33:00,27220.56,307.1
241,2023-06-04 14:34:00,27220.56,307.2
242,2023-06-04 14:35:00,27220.55,307.2
243,2023-06-04 14:36:00,27228.59,307.2
244,2023-06-04 14:37:00,27231.48,307.1
245,2023-06-04 14:38:00,27231.48,307.1
246,2023-06-04 14:39:00,27231.28,307.2
247,2023-06-04 14:40:00,27231.39,307.2
248,2023-06-04 14:41:00,27243.09,307.2
249,2023-06-04 14:42:00,27250.59,307.2
250,2023-06-04 14:43:00,27251.59,307.2
251,2023-06-04 14:44:00,27253.83,307.2
252,2023-06-04 14:45:00,27253.15,307.2
253,2023-06-04 14:46:00,27240.11,307.2
254,2023-06-04 14:47:00,27239.31,307.1
255,2023-06-04 14:48:00,27246.12,307.0
256,2023-06-04 14:49:00,27240.92,307.0
257,2023-06-04 14:50:00,27243.89,307.0
258,2023-06-04 14:51:00,27243.88,307.2
259,2023-06-04 14:52:00,27266.21,307.2
260,2023-06-04 14:53:00,27265.31,307.3
261,2023-06-04 14:54:00,27289.78,307.6
262,2023-06-04 14:55:00,27271.56,307.2
263,2023-06-04 14:56:00,27264.45,307.1
264,2023-06-04 14:57:00,27266.25,307.2
265,2023-06-04 14:58:00,27260.23,307.2
266,2023-06-04 14:59:00,27245.46,307.2
267,2023-06-04 15:00:00,27235.81,307.1
268,2023-06-04 15:01:00,27229.8,307.0
269,2023-06-04 15:02:00,27220.02,306.9
270,2023-06-04 15:03:00,27206.21,306.9
271,2023-06-04 15:04:00,27183.11,306.8
272,2023-06-04 15:05:00,27198.4,306.7
273,2023-06-04 15:06:00,27201.35,306.6
274,2023-06-04 15:07:00,27204.21,306.8
275,2023-06-04 15:08:00,27197.22,306.8
276,2023-06-04 15:09:00,27203.28,307.0
277,2023-06-04 15:10:00,27203.26,307.0
278,2023-06-04 15:11:00,27213.98,307.0
279,2023-06-04 15:12:00,27202.74,307.1
280,2023-06-04 15:13:00,27215.67,307.1
281,2023-06-04 15:14:00,27217.6,307.1
282,2023-06-04 15:15:00,27216.87,307.2
283,2023-06-04 15:16:00,27211.75,307.2
284,2023-06-04 15:17:00,27215.35,307.3
285,2023-06-04 15:18:00,27218.46,307.3
286,2023-06-04 15:19:00,27217.6,307.3
287,2023-06-04 15:20:00,27223.37,307.3
288,2023-06-04 15:21:00,27227.85,307.3
289,2023-06-04 15:22:00,27229.5,307.2
290,2023-06-04 15:23:00,27236.54,307.3
291,2023-06-04 15:24:00,27230.01,307.3
292,2023-06-04 15:25:00,27228.43,307.2
293,2023-06-04 15:26:00,27216.3,307.1
294,2023-06-04 15:27:00,27201.61,306.9
295,2023-06-04 15:28:00,27191.73,307.0
296,2023-06-04 15:29:00,27192.73,307.1
297,2023-06-04 15:30:00,27189.35,307.0
298,2023-06-04 15:31:00,27186.48,306.7
299,2023-06-04 15:32:00,27172.0,306.6
300,2023-06-04 15:33:00,27196.46,307.0
301,2023-06-04 15:34:00,27202.31,306.8
302,2023-06-04 15:35:00,27214.83,307.0
303,2023-06-04 15:36:00,27221.36,306.9
304,2023-06-04 15:37:00,27221.99,307.0
305,2023-06-04 15:38:00,27246.44,307.0
306,2023-06-04 15:39:00,27244.73,307.1
307,2023-06-04 15:40:00,27232.32,307.1
308,2023-06-04 15:41:00,27230.79,307.1
309,2023-06-04 15:42:00,27234.21,307.2
310,2023-06-04 15:43:00,27233.0,307.1
311,2023-06-04 15:44:00,27232.99,307.1
312,2023-06-04 15:45:00,27234.05,307.3
313,2023-06-04 15:46:00,27256.02,307.4
314,2023-06-04 15:47:00,27256.97,307.4
315,2023-06-04 15:48:00,27256.43,307.3
316,2023-06-04 15:49:00,27257.4,307.3
317,2023-06-04 15:50:00,27255.94,307.4
318,2023-06-04 15:51:00,27249.43,307.3
319,2023-06-04 15:52:00,27244.07,307.3
320,2023-06-04 15:53:00,27243.27,307.3
321,2023-06-04 15:54:00,27250.23,307.4
322,2023-06-04 15:55:00,27258.92,307.5
323,2023-06-04 15:56:00,27242.0,307.4
324,2023-06-04 15:57:00,27236.6,307.5
325,2023-06-04 15:58:00,27236.53,307.4
326,2023-06-04 15:59:00,27234.2,307.4
327,2023-06-04 16:00:00,27241.7,307.4
328,2023-06-04 16:01:00,27241.7,307.3
329,2023-06-04 16:02:00,27244.57,307.5
330,2023-06-04 16:03:00,27240.68,307.4
331,2023-06-04 16:04:00,27239.66,307.5
332,2023-06-04 16:05:00,27236.0,307.3
333,2023-06-04 16:06:00,27239.13,307.3
334,2023-06-04 16:07:00,27239.12,307.3
335,2023-06-04 16:08:00,27233.87,307.3
336,2023-06-04 16:09:00,27222.16,307.2
337,2023-06-04 16:10:00,27222.16,307.1
338,2023-06-04 16:11:00,27207.73,307.0
339,2023-06-04 16:12:00,27205.18,307.0
340,2023-06-04 16:13:00,27200.0,306.9
341,2023-06-04 16:14:00,27197.79,307.0
342,2023-06-04 16:15:00,27201.9,306.9
343,2023-06-04 16:16:00,27198.86,306.9
344,2023-06-04 16:17:00,27198.75,306.9
345,2023-06-04 16:18:00,27203.01,307.0
346,2023-06-04 16:19:00,27207.1,306.9
347,2023-06-04 16:20:00,27216.49,307.0
348,2023-06-04 16:21:00,27206.16,307.0
349,2023-06-04 16:22:00,27200.0,306.9
350,2023-06-04 16:23:00,27203.61,307.0
351,2023-06-04 16:24:00,27194.01,306.8
352,2023-06-04 16:25:00,27194.43,306.7
353,2023-06-04 16:26:00,27199.99,306.9
354,2023-06-04 16:27:00,27201.1,306.9
355,2023-06-04 16:28:00,27207.74,306.9
356,2023-06-04 16:29:00,27208.94,307.0
357,2023-06-04 16:30:00,27214.09,306.9
358,2023-06-04 16:31:00,27221.02,307.0
359,2023-06-04 16:32:00,27207.9,306.8
360,2023-06-04 16:33:00,27204.6,306.9
361,2023-06-04 16:34:00,27196.24,306.8
362,2023-06-04 16:35:00,27192.88,306.8
363,2023-06-04 16:36:00,27192.87,306.9
364,2023-06-04 16:37:00,27200.22,306.8
365,2023-06-04 16:38:00,27203.7,306.9
366,2023-06-04 16:39:00,27201.8,307.0
367,2023-06-04 16:40:00,27203.79,307.0
368,2023-06-04 16:41:00,27204.97,307.0
369,2023-06-04 16:42:00,27205.14,307.0
370,2023-06-04 16:43:00,27200.92,306.8
371,2023-06-04 16:44:00,27200.92,306.8
372,2023-06-04 16:45:00,27210.5,306.7
373,2023-06-04 16:46:00,27210.51,306.7
374,2023-06-04 16:47:00,27208.08,306.7
375,2023-06-04 16:48:00,27206.45,306.8
376,2023-06-04 16:49:00,27201.68,306.7
377,2023-06-04 16:50:00,27201.67,306.7
378,2023-06-04 16:51:00,27201.68,306.7
379,2023-06-04 16:52:00,27204.53,306.6
380,2023-06-04 16:53:00,27202.97,306.5
381,2023-06-04 16:54:00,27194.01,306.6
382,2023-06-04 16:55:00,27199.37,306.7
383,2023-06-04 16:56:00,27200.34,306.6
384,2023-06-04 16:57:00,27193.19,306.6
385,2023-06-04 16:58:00,27193.73,306.6
386,2023-06-04 16:59:00,27179.0,306.6
387,2023-06-04 17:00:00,27179.5,306.5
388,2023-06-04 17:01:00,27184.82,306.6
389,2023-06-04 17:02:00,27183.53,306.4
390,2023-06-04 17:03:00,27178.95,306.2
391,2023-06-04 17:04:00,27171.01,306.3
392,2023-06-04 17:05:00,27168.64,306.2
393,2023-06-04 17:06:00,27166.43,305.9
394,2023-06-04 17:07:00,27164.26,306.0
395,2023-06-04 17:08:00,27186.58,306.2
396,2023-06-04 17:09:00,27186.8,306.2
397,2023-06-04 17:10:00,27183.33,306.2
398,2023-06-04 17:11:00,27183.33,306.2
399,2023-06-04 17:12:00,27188.44,306.1
400,2023-06-04 17:13:00,27187.61,306.1
401,2023-06-04 17:14:00,27190.18,306.2
402,2023-06-04 17:15:00,27193.23,306.2
403,2023-06-04 17:16:00,27180.01,306.1
404,2023-06-04 17:17:00,27174.64,305.9
405,2023-06-04 17:18:00,27174.76,305.9
406,2023-06-04 17:19:00,27173.3,305.9
407,2023-06-04 17:20:00,27170.78,305.8
408,2023-06-04 17:21:00,27170.78,305.9
409,2023-06-04 17:22:00,27182.98,305.8
410,2023-06-04 17:23:00,27186.53,306.0
411,2023-06-04 17:24:00,27197.98,306.0
412,2023-06-04 17:25:00,27176.1,305.8
413,2023-06-04 17:26:00,27171.67,305.7
414,2023-06-04 17:27:00,27173.69,305.8
415,2023-06-04 17:28:00,27170.88,305.8
