,Time,BTCUSDT,COMPUSDT
367,2023-06-04 16:44:00,27200.92,35.61
368,2023-06-04 16:45:00,27210.5,35.63
369,2023-06-04 16:46:00,27210.51,35.63
370,2023-06-04 16:47:00,27208.08,35.64
371,2023-06-04 16:48:00,27206.45,35.64
372,2023-06-04 16:49:00,27201.68,35.64
373,2023-06-04 16:50:00,27201.67,35.64
374,2023-06-04 16:51:00,27201.68,35.65
375,2023-06-04 16:52:00,27204.53,35.65
376,2023-06-04 16:53:00,27202.97,35.65
377,2023-06-04 16:54:00,27194.01,35.64
378,2023-06-04 16:55:00,27199.37,35.64
379,2023-06-04 16:56:00,27200.34,35.63
380,2023-06-04 16:57:00,27193.19,35.63
381,2023-06-04 16:58:00,27193.73,35.64
382,2023-06-04 16:59:00,27179.0,35.63
383,2023-06-04 17:00:00,27179.5,35.64
384,2023-06-04 17:01:00,27184.82,35.64
385,2023-06-04 17:02:00,27183.53,35.64
386,2023-06-04 17:03:00,27178.95,35.64
387,2023-06-04 17:04:00,27171.01,35.6
388,2023-06-04 17:05:00,27168.64,35.59
389,2023-06-04 17:06:00,27166.43,35.55
390,2023-06-04 17:07:00,27164.26,35.55
391,2023-06-04 17:08:00,27186.58,35.6
392,2023-06-04 17:09:00,27186.8,35.61
393,2023-06-04 17:10:00,27183.33,35.6
394,2023-06-04 17:11:00,27183.33,35.6
395,2023-06-04 17:12:00,27188.44,35.61
396,2023-06-04 17:13:00,27187.61,35.62
397,2023-06-04 17:14:00,27190.18,35.62
398,2023-06-04 17:15:00,27193.23,35.62
399,2023-06-04 17:16:00,27180.01,35.62
400,2023-06-04 17:17:00,27174.64,35.61
401,2023-06-04 17:18:00,27174.76,35.6
402,2023-06-04 17:19:00,27173.3,35.6
403,2023-06-04 17:20:00,27170.78,35.58
404,2023-06-04 17:21:00,27170.78,35.57
405,2023-06-04 17:22:00,27182.98,35.58
406,2023-06-04 17:23:00,27186.53,35.61
407,2023-06-04 17:24:00,27197.98,35.62
408,2023-06-04 17:25:00,27176.1,35.58
409,2023-06-04 17:26:00,27171.67,35.57
410,2023-06-04 17:27:00,27173.69,35.63
411,2023-06-04 17:28:00,27170.88,35.61
412,2023-06-04 17:29:00,27175.12,35.61
413,2023-06-04 17:30:00,27170.89,35.6
414,2023-06-04 17:31:00,27171.43,35.61
415,2023-06-04 17:32:00,27181.15,35.61
416,2023-06-04 17:33:00,27185.94,35.63
417,2023-06-04 17:34:00,27185.93,35.64
418,2023-06-04 17:35:00,27185.93,35.64
419,2023-06-04 17:36:00,27182.65,35.64
420,2023-06-04 17:37:00,27181.5,35.66
421,2023-06-04 17:38:00,27179.34,35.66
422,2023-06-04 17:39:00,27179.33,35.64
423,2023-06-04 17:40:00,27185.93,35.66
424,2023-06-04 17:41:00,27178.64,35.65
425,2023-06-04 17:42:00,27181.5,35.65
426,2023-06-04 17:43:00,27181.49,35.65
427,2023-06-04 17:44:00,27186.6,35.66
428,2023-06-04 17:45:00,27186.6,35.65
429,2023-06-04 17:46:00,27186.95,35.66
430,2023-06-04 17:47:00,27188.64,35.65
431,2023-06-04 17:48:00,27193.89,35.66
432,2023-06-04 17:49:00,27190.92,35.66
433,2023-06-04 17:50:00,27190.91,35.67
434,2023-06-04 17:51:00,27189.66,35.67
435,2023-06-04 17:52:00,27181.82,35.67
436,2023-06-04 17:53:00,27183.17,35.68
437,2023-06-04 17:54:00,27189.5,35.67
438,2023-06-04 17:55:00,27183.28,35.67
439,2023-06-04 17:56:00,27183.18,35.63
440,2023-06-04 17:57:00,27173.49,35.61
441,2023-06-04 17:58:00,27170.67,35.62
442,2023-06-04 17:59:00,27170.66,35.62
443,2023-06-04 18:00:00,27174.53,35.61
444,2023-06-04 18:01:00,27177.01,35.63
445,2023-06-04 18:02:00,27179.99,35.62
446,2023-06-04 18:03:00,27179.98,35.63
447,2023-06-04 18:04:00,27187.46,35.63
448,2023-06-04 18:05:00,27196.68,35.65
449,2023-06-04 18:06:00,27196.13,35.64
450,2023-06-04 18:07:00,27198.71,35.66
