,Time,XVGUSDT,BUSDUSDT
293,2023-06-04 15:35:00,0.001916,0.9998
294,2023-06-04 15:36:00,0.00192,0.9998
295,2023-06-04 15:37:00,0.001923,0.9998
296,2023-06-04 15:38:00,0.001921,0.9999
297,2023-06-04 15:39:00,0.001925,0.9998
298,2023-06-04 15:40:00,0.001925,0.9998
299,2023-06-04 15:41:00,0.001925,0.9998
300,2023-06-04 15:42:00,0.001921,0.9998
301,2023-06-04 15:43:00,0.001921,0.9998
302,2023-06-04 15:44:00,0.001925,0.9999
303,2023-06-04 15:45:00,0.001925,0.9999
304,2023-06-04 15:46:00,0.001925,0.9999
305,2023-06-04 15:47:00,0.001922,0.9999
306,2023-06-04 15:48:00,0.001916,0.9998
307,2023-06-04 15:49:00,0.001916,0.9999
308,2023-06-04 15:50:00,0.00192,0.9998
309,2023-06-04 15:51:00,0.00192,0.9998
310,2023-06-04 15:52:00,0.001921,0.9999
311,2023-06-04 15:53:00,0.001921,0.9998
312,2023-06-04 15:54:00,0.001921,0.9999
313,2023-06-04 15:55:00,0.001921,0.9999
314,2023-06-04 15:56:00,0.00192,0.9998
315,2023-06-04 15:57:00,0.00192,0.9998
316,2023-06-04 15:58:00,0.00192,0.9999
317,2023-06-04 15:59:00,0.00192,0.9998
318,2023-06-04 16:00:00,0.00192,0.9998
319,2023-06-04 16:01:00,0.00192,0.9998
320,2023-06-04 16:02:00,0.001917,0.9998
321,2023-06-04 16:03:00,0.001924,0.9998
322,2023-06-04 16:04:00,0.001924,0.9998
323,2023-06-04 16:05:00,0.001924,0.9999
324,2023-06-04 16:06:00,0.001924,0.9998
325,2023-06-04 16:07:00,0.001924,0.9998
326,2023-06-04 16:08:00,0.001921,0.9998
327,2023-06-04 16:09:00,0.001923,0.9999
328,2023-06-04 16:10:00,0.001924,0.9998
329,2023-06-04 16:11:00,0.001923,0.9999
330,2023-06-04 16:12:00,0.00192,0.9998
331,2023-06-04 16:13:00,0.00192,0.9999
332,2023-06-04 16:14:00,0.001918,0.9998
333,2023-06-04 16:15:00,0.001919,0.9998
334,2023-06-04 16:16:00,0.001919,0.9999
335,2023-06-04 16:17:00,0.001922,0.9998
336,2023-06-04 16:18:00,0.001924,0.9998
337,2023-06-04 16:19:00,0.001925,0.9998
338,2023-06-04 16:20:00,0.001925,0.9998
339,2023-06-04 16:21:00,0.001926,0.9999
340,2023-06-04 16:22:00,0.001926,0.9999
341,2023-06-04 16:23:00,0.001927,0.9998
342,2023-06-04 16:24:00,0.001927,0.9998
343,2023-06-04 16:25:00,0.001927,0.9998
344,2023-06-04 16:26:00,0.001928,0.9998
345,2023-06-04 16:27:00,0.001928,0.9999
346,2023-06-04 16:28:00,0.001928,0.9998
347,2023-06-04 16:29:00,0.001928,0.9998
348,2023-06-04 16:30:00,0.001928,0.9999
349,2023-06-04 16:31:00,0.001928,0.9998
350,2023-06-04 16:32:00,0.001927,0.9999
351,2023-06-04 16:33:00,0.001927,0.9999
352,2023-06-04 16:34:00,0.001927,0.9999
353,2023-06-04 16:35:00,0.001927,0.9999
354,2023-06-04 16:36:00,0.001928,0.9998
355,2023-06-04 16:37:00,0.001929,0.9999
356,2023-06-04 16:38:00,0.001928,0.9998
357,2023-06-04 16:39:00,0.001928,0.9998
358,2023-06-04 16:40:00,0.001928,0.9998
359,2023-06-04 16:41:00,0.00193,0.9999
360,2023-06-04 16:42:00,0.001931,0.9998
361,2023-06-04 16:43:00,0.001935,0.9998
362,2023-06-04 16:44:00,0.001935,0.9999
363,2023-06-04 16:45:00,0.001937,0.9998
364,2023-06-04 16:46:00,0.001937,0.9998
365,2023-06-04 16:47:00,0.001936,0.9998
366,2023-06-04 16:48:00,0.001937,0.9999
367,2023-06-04 16:49:00,0.001946,0.9999
368,2023-06-04 16:50:00,0.001942,0.9999
369,2023-06-04 16:51:00,0.001947,0.9999
370,2023-06-04 16:52:00,0.001942,0.9999
371,2023-06-04 16:53:00,0.001947,0.9999
372,2023-06-04 16:54:00,0.001943,0.9998
373,2023-06-04 16:55:00,0.001943,0.9999
374,2023-06-04 16:56:00,0.001943,0.9999
375,2023-06-04 16:57:00,0.001943,0.9999
376,2023-06-04 16:58:00,0.001943,0.9999
377,2023-06-04 16:59:00,0.001943,0.9999
378,2023-06-04 17:00:00,0.00194,0.9998
379,2023-06-04 17:01:00,0.00194,0.9999
380,2023-06-04 17:02:00,0.001942,0.9999
381,2023-06-04 17:03:00,0.001947,0.9998
382,2023-06-04 17:04:00,0.001948,0.9998
383,2023-06-04 17:05:00,0.001945,0.9998
384,2023-06-04 17:06:00,0.001946,0.9998
385,2023-06-04 17:07:00,0.001947,0.9999
386,2023-06-04 17:08:00,0.001947,0.9998
387,2023-06-04 17:09:00,0.001941,0.9998
388,2023-06-04 17:10:00,0.001941,0.9998
389,2023-06-04 17:11:00,0.001941,0.9998
390,2023-06-04 17:12:00,0.001941,0.9998
391,2023-06-04 17:13:00,0.001941,0.9999
392,2023-06-04 17:14:00,0.001941,0.9998
393,2023-06-04 17:15:00,0.001934,0.9999
394,2023-06-04 17:16:00,0.001934,0.9999
395,2023-06-04 17:17:00,0.001938,0.9998
396,2023-06-04 17:18:00,0.001938,0.9999
397,2023-06-04 17:19:00,0.001938,0.9998
398,2023-06-04 17:20:00,0.001936,0.9998
399,2023-06-04 17:21:00,0.001936,0.9999
400,2023-06-04 17:22:00,0.001934,0.9999
401,2023-06-04 17:23:00,0.001933,0.9998
402,2023-06-04 17:24:00,0.001932,0.9998
403,2023-06-04 17:25:00,0.001932,0.9999
404,2023-06-04 17:26:00,0.001932,0.9998
405,2023-06-04 17:27:00,0.001932,0.9999
406,2023-06-04 17:28:00,0.001931,0.9998
407,2023-06-04 17:29:00,0.001931,0.9998
408,2023-06-04 17:30:00,0.001931,0.9998
409,2023-06-04 17:31:00,0.001932,0.9998
410,2023-06-04 17:32:00,0.001932,0.9998
411,2023-06-04 17:33:00,0.001932,0.9998
412,2023-06-04 17:34:00,0.001932,0.9998
413,2023-06-04 17:35:00,0.001937,0.9998
414,2023-06-04 17:36:00,0.001937,0.9998
415,2023-06-04 17:37:00,0.001938,0.9998
416,2023-06-04 17:38:00,0.001938,0.9999
417,2023-06-04 17:39:00,0.001938,0.9998
418,2023-06-04 17:40:00,0.001937,0.9999
419,2023-06-04 17:41:00,0.001938,0.9999
420,2023-06-04 17:42:00,0.001932,0.9999
421,2023-06-04 17:43:00,0.001932,0.9998
422,2023-06-04 17:44:00,0.001932,0.9999
423,2023-06-04 17:45:00,0.001935,0.9999
424,2023-06-04 17:46:00,0.001935,0.9999
425,2023-06-04 17:47:00,0.001933,0.9998
426,2023-06-04 17:48:00,0.001933,0.9999
427,2023-06-04 17:49:00,0.001935,0.9999
428,2023-06-04 17:50:00,0.001935,0.9999
429,2023-06-04 17:51:00,0.001935,0.9998
430,2023-06-04 17:52:00,0.001935,0.9999
431,2023-06-04 17:53:00,0.001934,0.9999
432,2023-06-04 17:54:00,0.001934,0.9998
433,2023-06-04 17:55:00,0.001932,0.9998
434,2023-06-04 17:56:00,0.001934,0.9998
435,2023-06-04 17:57:00,0.001934,0.9998
436,2023-06-04 17:58:00,0.001932,0.9998
437,2023-06-04 17:59:00,0.001932,0.9998
438,2023-06-04 18:00:00,0.001931,0.9998
439,2023-06-04 18:01:00,0.001931,0.9999
440,2023-06-04 18:02:00,0.001931,0.9998
441,2023-06-04 18:03:00,0.001928,0.9999
442,2023-06-04 18:04:00,0.001928,0.9998
443,2023-06-04 18:05:00,0.001929,0.9998
444,2023-06-04 18:06:00,0.001929,0.9998
445,2023-06-04 18:07:00,0.001929,0.9999
446,2023-06-04 18:08:00,0.001929,0.9998
447,2023-06-04 18:09:00,0.001929,0.9999
448,2023-06-04 18:10:00,0.001929,0.9999
449,2023-06-04 18:11:00,0.001929,0.9998
450,2023-06-04 18:12:00,0.001929,0.9998
451,2023-06-04 18:13:00,0.001929,0.9998
452,2023-06-04 18:14:00,0.001929,0.9998
453,2023-06-04 18:15:00,0.001933,0.9997
454,2023-06-04 18:16:00,0.001933,0.9998
455,2023-06-04 18:17:00,0.00193,0.9998
456,2023-06-04 18:18:00,0.001934,0.9997
457,2023-06-04 18:19:00,0.001934,0.9997
458,2023-06-04 18:20:00,0.001934,0.9997
459,2023-06-04 18:21:00,0.001934,0.9997
460,2023-06-04 18:22:00,0.001934,0.9998
461,2023-06-04 18:23:00,0.001932,0.9997
462,2023-06-04 18:24:00,0.001932,0.9997
463,2023-06-04 18:25:00,0.001934,0.9997
464,2023-06-04 18:26:00,0.001934,0.9998
465,2023-06-04 18:27:00,0.001934,0.9997
466,2023-06-04 18:28:00,0.00193,0.9997
467,2023-06-04 18:29:00,0.00193,0.9998
468,2023-06-04 18:30:00,0.00193,0.9998
469,2023-06-04 18:31:00,0.00193,0.9998
470,2023-06-04 18:32:00,0.001931,0.9997
471,2023-06-04 18:33:00,0.001931,0.9998
472,2023-06-04 18:34:00,0.00193,0.9998
473,2023-06-04 18:35:00,0.00193,0.9997
474,2023-06-04 18:36:00,0.001927,0.9997
475,2023-06-04 18:37:00,0.001926,0.9998
476,2023-06-04 18:38:00,0.001926,0.9998
477,2023-06-04 18:39:00,0.001926,0.9998
478,2023-06-04 18:40:00,0.001925,0.9997
479,2023-06-04 18:41:00,0.001925,0.9997
480,2023-06-04 18:42:00,0.001929,0.9998
481,2023-06-04 18:43:00,0.001929,0.9998
482,2023-06-04 18:44:00,0.001929,0.9997
483,2023-06-04 18:45:00,0.001933,0.9997
484,2023-06-04 18:46:00,0.001929,0.9997
485,2023-06-04 18:47:00,0.001929,0.9997
486,2023-06-04 18:48:00,0.001932,0.9997
487,2023-06-04 18:49:00,0.001932,0.9997
488,2023-06-04 18:50:00,0.001928,0.9997
489,2023-06-04 18:51:00,0.001928,0.9998
490,2023-06-04 18:52:00,0.001931,0.9998
491,2023-06-04 18:53:00,0.001927,0.9997
492,2023-06-04 18:54:00,0.001927,0.9997
493,2023-06-04 18:55:00,0.00193,0.9997
494,2023-06-04 18:56:00,0.00193,0.9998
495,2023-06-04 18:57:00,0.00193,0.9997
496,2023-06-04 18:58:00,0.00193,0.9997
497,2023-06-04 18:59:00,0.00193,0.9997
498,2023-06-04 19:00:00,0.001925,0.9997
499,2023-06-04 19:01:00,0.001927,0.9997
500,2023-06-04 19:02:00,0.001926,0.9997
501,2023-06-04 19:03:00,0.001926,0.9998
502,2023-06-04 19:04:00,0.001926,0.9998
503,2023-06-04 19:05:00,0.001926,0.9997
504,2023-06-04 19:06:00,0.001923,0.9998
505,2023-06-04 19:07:00,0.001926,0.9998
