,Time,ETHUSDT,BNBUSDT
209,2023-06-04 14:22:00,1903.43,307.1
210,2023-06-04 14:23:00,1903.21,307.1
211,2023-06-04 14:24:00,1905.01,307.0
212,2023-06-04 14:25:00,1905.25,307.0
213,2023-06-04 14:26:00,1904.46,306.9
214,2023-06-04 14:27:00,1904.27,307.0
215,2023-06-04 14:28:00,1904.48,306.9
216,2023-06-04 14:29:00,1904.51,306.9
217,2023-06-04 14:30:00,1905.51,307.1
218,2023-06-04 14:31:00,1906.44,307.2
219,2023-06-04 14:32:00,1904.81,307.1
220,2023-06-04 14:33:00,1906.02,307.1
221,2023-06-04 14:34:00,1906.01,307.2
222,2023-06-04 14:35:00,1906.01,307.2
223,2023-06-04 14:36:00,1906.11,307.2
224,2023-06-04 14:37:00,1906.51,307.1
225,2023-06-04 14:38:00,1906.56,307.1
226,2023-06-04 14:39:00,1906.56,307.2
227,2023-06-04 14:40:00,1906.56,307.2
228,2023-06-04 14:41:00,1907.51,307.2
229,2023-06-04 14:42:00,1907.47,307.2
230,2023-06-04 14:43:00,1906.95,307.2
231,2023-06-04 14:44:00,1907.06,307.2
232,2023-06-04 14:45:00,1907.3,307.2
233,2023-06-04 14:46:00,1906.83,307.2
234,2023-06-04 14:47:00,1907.01,307.1
235,2023-06-04 14:48:00,1907.0,307.0
236,2023-06-04 14:49:00,1906.83,307.0
237,2023-06-04 14:50:00,1906.78,307.0
238,2023-06-04 14:51:00,1906.78,307.2
239,2023-06-04 14:52:00,1907.4,307.2
240,2023-06-04 14:53:00,1908.35,307.3
241,2023-06-04 14:54:00,1911.94,307.6
242,2023-06-04 14:55:00,1909.65,307.2
243,2023-06-04 14:56:00,1908.66,307.1
244,2023-06-04 14:57:00,1908.89,307.2
245,2023-06-04 14:58:00,1908.67,307.2
246,2023-06-04 14:59:00,1907.51,307.2
247,2023-06-04 15:00:00,1906.01,307.1
248,2023-06-04 15:01:00,1905.34,307.0
249,2023-06-04 15:02:00,1904.13,306.9
250,2023-06-04 15:03:00,1904.29,306.9
251,2023-06-04 15:04:00,1901.02,306.8
252,2023-06-04 15:05:00,1901.52,306.7
253,2023-06-04 15:06:00,1902.93,306.6
254,2023-06-04 15:07:00,1903.22,306.8
255,2023-06-04 15:08:00,1903.02,306.8
256,2023-06-04 15:09:00,1903.5,307.0
257,2023-06-04 15:10:00,1903.11,307.0
258,2023-06-04 15:11:00,1903.78,307.0
259,2023-06-04 15:12:00,1903.4,307.1
260,2023-06-04 15:13:00,1903.92,307.1
261,2023-06-04 15:14:00,1904.49,307.1
262,2023-06-04 15:15:00,1904.56,307.2
263,2023-06-04 15:16:00,1904.01,307.2
264,2023-06-04 15:17:00,1904.49,307.3
265,2023-06-04 15:18:00,1904.5,307.3
266,2023-06-04 15:19:00,1904.49,307.3
267,2023-06-04 15:20:00,1904.87,307.3
268,2023-06-04 15:21:00,1905.0,307.3
269,2023-06-04 15:22:00,1904.99,307.2
270,2023-06-04 15:23:00,1905.98,307.3
271,2023-06-04 15:24:00,1904.71,307.3
272,2023-06-04 15:25:00,1904.56,307.2
273,2023-06-04 15:26:00,1903.68,307.1
274,2023-06-04 15:27:00,1902.42,306.9
275,2023-06-04 15:28:00,1901.71,307.0
276,2023-06-04 15:29:00,1901.62,307.1
277,2023-06-04 15:30:00,1901.5,307.0
278,2023-06-04 15:31:00,1900.63,306.7
279,2023-06-04 15:32:00,1900.31,306.6
280,2023-06-04 15:33:00,1901.83,307.0
281,2023-06-04 15:34:00,1901.66,306.8
282,2023-06-04 15:35:00,1902.71,307.0
283,2023-06-04 15:36:00,1903.37,306.9
284,2023-06-04 15:37:00,1903.31,307.0
285,2023-06-04 15:38:00,1904.08,307.0
286,2023-06-04 15:39:00,1904.91,307.1
287,2023-06-04 15:40:00,1903.65,307.1
288,2023-06-04 15:41:00,1903.76,307.1
289,2023-06-04 15:42:00,1904.64,307.2
290,2023-06-04 15:43:00,1904.5,307.1
291,2023-06-04 15:44:00,1904.43,307.1
292,2023-06-04 15:45:00,1904.78,307.3
293,2023-06-04 15:46:00,1906.59,307.4
294,2023-06-04 15:47:00,1906.23,307.4
295,2023-06-04 15:48:00,1906.85,307.3
296,2023-06-04 15:49:00,1906.85,307.3
297,2023-06-04 15:50:00,1907.31,307.4
298,2023-06-04 15:51:00,1907.18,307.3
299,2023-06-04 15:52:00,1907.17,307.3
300,2023-06-04 15:53:00,1907.41,307.3
