,Time,ETHUSDT,MDTUSDT
214,2023-06-04 14:30:00,1905.51,0.052
215,2023-06-04 14:31:00,1906.44,0.05195
216,2023-06-04 14:32:00,1904.81,0.05192
217,2023-06-04 14:33:00,1906.02,0.05189
218,2023-06-04 14:34:00,1906.01,0.05189
219,2023-06-04 14:35:00,1906.01,0.05189
220,2023-06-04 14:36:00,1906.11,0.05191
221,2023-06-04 14:37:00,1906.51,0.05181
222,2023-06-04 14:38:00,1906.56,0.05182
223,2023-06-04 14:39:00,1906.56,0.05182
224,2023-06-04 14:40:00,1906.56,0.05182
225,2023-06-04 14:41:00,1907.51,0.0519
226,2023-06-04 14:42:00,1907.47,0.0518
227,2023-06-04 14:43:00,1906.95,0.05176
228,2023-06-04 14:44:00,1907.06,0.05179
229,2023-06-04 14:45:00,1907.3,0.05181
230,2023-06-04 14:46:00,1906.83,0.05176
231,2023-06-04 14:47:00,1907.01,0.05182
232,2023-06-04 14:48:00,1907.0,0.05191
233,2023-06-04 14:49:00,1906.83,0.05173
234,2023-06-04 14:50:00,1906.78,0.05182
235,2023-06-04 14:51:00,1906.78,0.05182
236,2023-06-04 14:52:00,1907.4,0.05182
237,2023-06-04 14:53:00,1908.35,0.05182
238,2023-06-04 14:54:00,1911.94,0.05176
239,2023-06-04 14:55:00,1909.65,0.05176
240,2023-06-04 14:56:00,1908.66,0.05174
241,2023-06-04 14:57:00,1908.89,0.05173
242,2023-06-04 14:58:00,1908.67,0.05175
243,2023-06-04 14:59:00,1907.51,0.05179
244,2023-06-04 15:00:00,1906.01,0.05177
245,2023-06-04 15:01:00,1905.34,0.05176
246,2023-06-04 15:02:00,1904.13,0.05173
247,2023-06-04 15:03:00,1904.29,0.05173
248,2023-06-04 15:04:00,1901.02,0.05169
249,2023-06-04 15:05:00,1901.52,0.05161
250,2023-06-04 15:06:00,1902.93,0.05154
251,2023-06-04 15:07:00,1903.22,0.05158
252,2023-06-04 15:08:00,1903.02,0.05152
253,2023-06-04 15:09:00,1903.5,0.05157
254,2023-06-04 15:10:00,1903.11,0.05157
255,2023-06-04 15:11:00,1903.78,0.05154
256,2023-06-04 15:12:00,1903.4,0.05156
257,2023-06-04 15:13:00,1903.92,0.05128
258,2023-06-04 15:14:00,1904.49,0.05129
259,2023-06-04 15:15:00,1904.56,0.05106
260,2023-06-04 15:16:00,1904.01,0.05105
261,2023-06-04 15:17:00,1904.49,0.051
262,2023-06-04 15:18:00,1904.5,0.0511
263,2023-06-04 15:19:00,1904.49,0.05113
264,2023-06-04 15:20:00,1904.87,0.05113
265,2023-06-04 15:21:00,1905.0,0.05108
266,2023-06-04 15:22:00,1904.99,0.05095
267,2023-06-04 15:23:00,1905.98,0.05073
268,2023-06-04 15:24:00,1904.71,0.05068
269,2023-06-04 15:25:00,1904.56,0.05063
270,2023-06-04 15:26:00,1903.68,0.05061
271,2023-06-04 15:27:00,1902.42,0.05058
272,2023-06-04 15:28:00,1901.71,0.05054
273,2023-06-04 15:29:00,1901.62,0.05053
274,2023-06-04 15:30:00,1901.5,0.05044
275,2023-06-04 15:31:00,1900.63,0.05044
276,2023-06-04 15:32:00,1900.31,0.05032
277,2023-06-04 15:33:00,1901.83,0.05036
278,2023-06-04 15:34:00,1901.66,0.05046
279,2023-06-04 15:35:00,1902.71,0.0505
280,2023-06-04 15:36:00,1903.37,0.05051
281,2023-06-04 15:37:00,1903.31,0.05051
