,Time,BTCUSDT,BUSDUSDT
290,2023-06-04 15:24:00,27230.01,0.9999
291,2023-06-04 15:25:00,27228.43,0.9999
292,2023-06-04 15:26:00,27216.3,0.9998
293,2023-06-04 15:27:00,27201.61,0.9998
294,2023-06-04 15:28:00,27191.73,0.9998
295,2023-06-04 15:29:00,27192.73,0.9998
296,2023-06-04 15:30:00,27189.35,0.9998
297,2023-06-04 15:31:00,27186.48,0.9998
298,2023-06-04 15:32:00,27172.0,0.9998
299,2023-06-04 15:33:00,27196.46,0.9998
300,2023-06-04 15:34:00,27202.31,0.9998
301,2023-06-04 15:35:00,27214.83,0.9998
302,2023-06-04 15:36:00,27221.36,0.9998
303,2023-06-04 15:37:00,27221.99,0.9998
304,2023-06-04 15:38:00,27246.44,0.9999
305,2023-06-04 15:39:00,27244.73,0.9998
306,2023-06-04 15:40:00,27232.32,0.9998
307,2023-06-04 15:41:00,27230.79,0.9998
308,2023-06-04 15:42:00,27234.21,0.9998
309,2023-06-04 15:43:00,27233.0,0.9998
310,2023-06-04 15:44:00,27232.99,0.9999
311,2023-06-04 15:45:00,27234.05,0.9999
312,2023-06-04 15:46:00,27256.02,0.9999
313,2023-06-04 15:47:00,27256.97,0.9999
314,2023-06-04 15:48:00,27256.43,0.9998
315,2023-06-04 15:49:00,27257.4,0.9999
316,2023-06-04 15:50:00,27255.94,0.9998
317,2023-06-04 15:51:00,27249.43,0.9998
318,2023-06-04 15:52:00,27244.07,0.9999
319,2023-06-04 15:53:00,27243.27,0.9998
320,2023-06-04 15:54:00,27250.23,0.9999
321,2023-06-04 15:55:00,27258.92,0.9999
322,2023-06-04 15:56:00,27242.0,0.9998
323,2023-06-04 15:57:00,27236.6,0.9998
324,2023-06-04 15:58:00,27236.53,0.9999
325,2023-06-04 15:59:00,27234.2,0.9998
326,2023-06-04 16:00:00,27241.7,0.9998
327,2023-06-04 16:01:00,27241.7,0.9998
328,2023-06-04 16:02:00,27244.57,0.9998
329,2023-06-04 16:03:00,27240.68,0.9998
330,2023-06-04 16:04:00,27239.66,0.9998
331,2023-06-04 16:05:00,27236.0,0.9999
332,2023-06-04 16:06:00,27239.13,0.9998
