,Time,ETHUSDT,BCHUSDT
241,2023-06-04 14:53:00,1908.35,116.5
242,2023-06-04 14:54:00,1911.94,116.6
243,2023-06-04 14:55:00,1909.65,116.7
244,2023-06-04 14:56:00,1908.66,116.5
245,2023-06-04 14:57:00,1908.89,116.6
246,2023-06-04 14:58:00,1908.67,116.6
247,2023-06-04 14:59:00,1907.51,116.5
248,2023-06-04 15:00:00,1906.01,116.5
249,2023-06-04 15:01:00,1905.34,116.3
250,2023-06-04 15:02:00,1904.13,116.4
251,2023-06-04 15:03:00,1904.29,116.3
252,2023-06-04 15:04:00,1901.02,116.3
253,2023-06-04 15:05:00,1901.52,116.4
254,2023-06-04 15:06:00,1902.93,116.4
255,2023-06-04 15:07:00,1903.22,116.3
256,2023-06-04 15:08:00,1903.02,116.3
257,2023-06-04 15:09:00,1903.5,116.4
258,2023-06-04 15:10:00,1903.11,116.3
259,2023-06-04 15:11:00,1903.78,116.4
260,2023-06-04 15:12:00,1903.4,116.4
261,2023-06-04 15:13:00,1903.92,116.3
262,2023-06-04 15:14:00,1904.49,116.4
263,2023-06-04 15:15:00,1904.56,116.3
264,2023-06-04 15:16:00,1904.01,116.3
265,2023-06-04 15:17:00,1904.49,116.4
266,2023-06-04 15:18:00,1904.5,116.3
267,2023-06-04 15:19:00,1904.49,116.4
268,2023-06-04 15:20:00,1904.87,116.4
269,2023-06-04 15:21:00,1905.0,116.3
270,2023-06-04 15:22:00,1904.99,116.3
271,2023-06-04 15:23:00,1905.98,116.3
272,2023-06-04 15:24:00,1904.71,116.3
273,2023-06-04 15:25:00,1904.56,116.4
274,2023-06-04 15:26:00,1903.68,116.4
275,2023-06-04 15:27:00,1902.42,116.3
276,2023-06-04 15:28:00,1901.71,116.3
277,2023-06-04 15:29:00,1901.62,116.3
278,2023-06-04 15:30:00,1901.5,116.4
279,2023-06-04 15:31:00,1900.63,116.3
280,2023-06-04 15:32:00,1900.31,116.3
281,2023-06-04 15:33:00,1901.83,116.2
282,2023-06-04 15:34:00,1901.66,116.1
283,2023-06-04 15:35:00,1902.71,116.1
284,2023-06-04 15:36:00,1903.37,116.1
285,2023-06-04 15:37:00,1903.31,116.1
286,2023-06-04 15:38:00,1904.08,116.0
287,2023-06-04 15:39:00,1904.91,116.0
288,2023-06-04 15:40:00,1903.65,116.0
289,2023-06-04 15:41:00,1903.76,116.1
290,2023-06-04 15:42:00,1904.64,116.0
291,2023-06-04 15:43:00,1904.5,116.0
292,2023-06-04 15:44:00,1904.43,116.1
293,2023-06-04 15:45:00,1904.78,116.2
294,2023-06-04 15:46:00,1906.59,116.2
295,2023-06-04 15:47:00,1906.23,116.3
296,2023-06-04 15:48:00,1906.85,116.3
297,2023-06-04 15:49:00,1906.85,116.3
298,2023-06-04 15:50:00,1907.31,116.4
299,2023-06-04 15:51:00,1907.18,116.3
300,2023-06-04 15:52:00,1907.17,116.4
301,2023-06-04 15:53:00,1907.41,116.4
302,2023-06-04 15:54:00,1907.79,116.5
303,2023-06-04 15:55:00,1908.38,116.5
304,2023-06-04 15:56:00,1906.33,116.5
305,2023-06-04 15:57:00,1905.6,116.6
306,2023-06-04 15:58:00,1905.77,116.5
307,2023-06-04 15:59:00,1905.5,116.5
308,2023-06-04 16:00:00,1905.36,116.6
309,2023-06-04 16:01:00,1905.37,116.6
310,2023-06-04 16:02:00,1905.81,116.6
311,2023-06-04 16:03:00,1905.56,116.7
312,2023-06-04 16:04:00,1905.63,116.7
313,2023-06-04 16:05:00,1905.5,116.8
314,2023-06-04 16:06:00,1905.68,116.8
315,2023-06-04 16:07:00,1905.5,116.9
316,2023-06-04 16:08:00,1905.32,116.9
317,2023-06-04 16:09:00,1904.49,116.7
318,2023-06-04 16:10:00,1904.49,116.7
319,2023-06-04 16:11:00,1903.51,116.6
320,2023-06-04 16:12:00,1903.31,116.6
321,2023-06-04 16:13:00,1902.85,116.7
322,2023-06-04 16:14:00,1902.67,116.6
323,2023-06-04 16:15:00,1903.43,116.6
324,2023-06-04 16:16:00,1903.25,116.7
325,2023-06-04 16:17:00,1903.2,116.6
326,2023-06-04 16:18:00,1903.59,116.6
327,2023-06-04 16:19:00,1903.99,116.7
328,2023-06-04 16:20:00,1904.35,116.8
329,2023-06-04 16:21:00,1903.86,116.7
330,2023-06-04 16:22:00,1903.62,116.7
331,2023-06-04 16:23:00,1904.05,116.6
332,2023-06-04 16:24:00,1903.71,116.6
333,2023-06-04 16:25:00,1903.59,116.6
334,2023-06-04 16:26:00,1904.39,116.6
335,2023-06-04 16:27:00,1904.5,116.6
336,2023-06-04 16:28:00,1904.79,116.7
337,2023-06-04 16:29:00,1904.79,116.7
338,2023-06-04 16:30:00,1905.1,116.7
339,2023-06-04 16:31:00,1905.55,116.7
340,2023-06-04 16:32:00,1904.83,116.8
341,2023-06-04 16:33:00,1904.51,116.7
342,2023-06-04 16:34:00,1903.86,116.6
343,2023-06-04 16:35:00,1903.51,116.5
344,2023-06-04 16:36:00,1903.51,116.5
345,2023-06-04 16:37:00,1903.72,116.6
346,2023-06-04 16:38:00,1903.94,116.6
347,2023-06-04 16:39:00,1903.95,116.5
348,2023-06-04 16:40:00,1903.99,116.5
349,2023-06-04 16:41:00,1903.8,116.5
350,2023-06-04 16:42:00,1903.91,116.6
351,2023-06-04 16:43:00,1903.84,116.5
352,2023-06-04 16:44:00,1903.76,116.4
353,2023-06-04 16:45:00,1904.35,116.4
354,2023-06-04 16:46:00,1904.34,116.5
355,2023-06-04 16:47:00,1904.0,116.6
356,2023-06-04 16:48:00,1904.0,116.7
357,2023-06-04 16:49:00,1904.0,116.7
358,2023-06-04 16:50:00,1904.0,116.7
359,2023-06-04 16:51:00,1903.52,116.7
360,2023-06-04 16:52:00,1903.85,116.7
361,2023-06-04 16:53:00,1903.68,116.7
362,2023-06-04 16:54:00,1903.67,116.7
363,2023-06-04 16:55:00,1904.1,116.7
364,2023-06-04 16:56:00,1902.86,116.7
365,2023-06-04 16:57:00,1902.7,116.7
366,2023-06-04 16:58:00,1902.69,116.7
367,2023-06-04 16:59:00,1901.76,116.7
368,2023-06-04 17:00:00,1901.79,116.6
369,2023-06-04 17:01:00,1901.46,116.7
370,2023-06-04 17:02:00,1901.56,116.8
371,2023-06-04 17:03:00,1901.1,116.7
372,2023-06-04 17:04:00,1900.35,116.7
373,2023-06-04 17:05:00,1900.0,116.7
374,2023-06-04 17:06:00,1899.14,116.6
375,2023-06-04 17:07:00,1899.11,116.5
376,2023-06-04 17:08:00,1900.5,116.6
377,2023-06-04 17:09:00,1900.43,116.6
378,2023-06-04 17:10:00,1899.13,116.6
379,2023-06-04 17:11:00,1899.38,116.6
380,2023-06-04 17:12:00,1899.82,116.7
381,2023-06-04 17:13:00,1899.45,116.7
382,2023-06-04 17:14:00,1899.67,116.6
383,2023-06-04 17:15:00,1899.76,116.6
384,2023-06-04 17:16:00,1898.81,116.6
385,2023-06-04 17:17:00,1898.43,116.6
386,2023-06-04 17:18:00,1898.57,116.6
387,2023-06-04 17:19:00,1898.53,116.5
388,2023-06-04 17:20:00,1898.35,116.5
389,2023-06-04 17:21:00,1898.35,116.4
390,2023-06-04 17:22:00,1899.38,116.5
391,2023-06-04 17:23:00,1899.63,116.4
392,2023-06-04 17:24:00,1900.43,116.4
393,2023-06-04 17:25:00,1898.36,116.4
394,2023-06-04 17:26:00,1898.53,116.4
395,2023-06-04 17:27:00,1898.37,116.4
396,2023-06-04 17:28:00,1897.29,116.4
397,2023-06-04 17:29:00,1897.77,116.3
398,2023-06-04 17:30:00,1897.09,116.3
399,2023-06-04 17:31:00,1897.51,116.3
400,2023-06-04 17:32:00,1898.37,116.3
